Date,Open,High,Low,Close,Adj Close,Volume
7/23/2019,134.429993,134.949997,133.559998,133.690002,133.690002,9981400
7/24/2019,134.589996,134.839996,133.979996,134.369995,134.369995,6715200
7/25/2019,134.240005,134.279999,133.089996,133.419998,133.419998,11708200
7/26/2019,134.240005,134.289993,133.589996,133.639999,133.639999,6249900
7/29/2019,134.059998,134.729996,133.440002,134.529999,134.529999,9162400
7/30/2019,134.759995,135.179993,134.410004,134.979996,134.979996,9458700
7/31/2019,135.029999,135.419998,133.020004,133.210007,133.210007,18797200
8/1/2019,132.419998,136.429993,132.309998,136.410004,136.410004,27719800
8/2/2019,135.389999,136.600006,135.369995,135.889999,135.889999,13753200
8/5/2019,137.929993,138.639999,137.050003,137.789993,137.789993,17519800
8/6/2019,138.330002,139.029999,138.009995,138.910004,138.910004,9471200
8/7/2019,141.279999,142.470001,140.880005,141.020004,141.020004,26671100
8/8/2019,140.899994,142.369995,140.710007,141.729996,141.729996,13108600
8/9/2019,141.279999,142.029999,140.960007,141.259995,141.259995,9485900
8/12/2019,141.669998,143.380005,141.639999,142.630005,142.630005,15264000
8/13/2019,143.169998,143.289993,139.350006,141.779999,141.779999,29842800
8/14/2019,142.899994,143.75,142.050003,142.75,142.75,20672900
8/15/2019,142.960007,144.020004,142.610001,143.699997,143.699997,13467800
8/16/2019,142.75,143.130005,141.800003,142.779999,142.779999,11728800
8/19/2019,141.330002,141.789993,140.850006,141.110001,141.110001,10552700
8/20/2019,141.770004,142.259995,141.600006,142.210007,142.210007,7478500
8/21/2019,141.619995,142.169998,141.460007,141.759995,141.759995,8114700
8/22/2019,141.389999,141.899994,141.169998,141.399994,141.399994,6846500
8/23/2019,141.839996,144.330002,141.639999,144.169998,144.169998,20282200
8/26/2019,144.350006,144.970001,143.910004,144.190002,144.190002,12195800
8/27/2019,144.300003,145.679993,144.270004,145.570007,145.570007,12844100
8/28/2019,145.389999,145.679993,144.639999,145.160004,145.160004,11452400
8/29/2019,145.399994,145.490005,143.279999,144.119995,144.119995,14762500
8/30/2019,143.839996,144.880005,143.020004,143.75,143.75,9642200
9/3/2019,144.960007,146.130005,144.740005,145.75,145.75,15615200
9/4/2019,145.539993,146.820007,145.5,146.660004,146.660004,11285900
9/5/2019,144.979996,145.009995,142,143.139999,143.139999,20293200
9/6/2019,143.639999,144.059998,141.860001,141.919998,141.919998,14175200
